sale_item_id,sale_id,product_id,quantity,unit_price,discount
1,1,23,1,169.99,0.0
2,1,28,1,38.0,0.0
3,2,34,1,18.0,0.0
4,2,55,1,84.99,8.5
5,2,2,1,239.99,12.0
6,3,12,2,109.99,0.0
7,4,32,1,29.99,0.0
8,4,3,2,79.99,0.0
9,5,1,3,189.99,142.49
10,5,52,1,21.99,3.3
11,5,3,1,79.99,0.0
12,6,119,1,24.99,1.25
13,6,10,2,44.99,0.0
14,6,15,1,47.99,7.2
15,7,1,1,189.99,28.5
16,7,32,2,29.99,0.0
17,8,35,1,34.99,0.0
18,8,1,1,189.99,0.0
19,9,65,2,34.99,0.0
20,9,5,1,69.99,0.0
21,10,60,1,27.99,0.0
22,11,2,1,239.99,24.0
23,12,29,1,46.99,0.0
24,13,13,2,59.99,0.0
25,13,34,1,18.0,0.0
26,14,26,1,49.99,0.0
27,15,1,1,189.99,0.0
28,16,6,1,279.99,0.0
29,16,101,1,14.99,0.0
30,17,64,1,18.99,0.0
31,18,49,1,28.99,0.0
32,19,2,1,239.99,36.0
33,19,31,3,44.99,20.25
34,19,57,1,19.99,5.0
35,20,5,2,69.99,14.0
36,21,15,1,47.99,0.0
37,21,58,1,26.99,0.0
38,21,1,1,189.99,0.0
39,22,12,2,109.99,0.0
40,22,9,1,29.99,1.5
41,23,99,1,21.99,5.5
42,23,1,1,189.99,0.0
43,24,37,1,64.99,3.25
44,25,31,2,44.99,0.0
45,25,9,1,29.99,0.0
46,25,2,1,239.99,0.0
47,25,4,1,34.99,0.0
48,25,7,2,119.99,0.0
49,26,23,1,169.99,0.0
50,26,1,1,189.99,0.0
51,27,39,1,27.99,0.0
52,27,16,1,89.99,0.0
53,27,12,1,109.99,0.0
54,28,1,1,189.99,0.0
55,28,61,1,28.99,5.8
56,29,21,2,74.99,7.5
57,29,3,2,79.99,24.0
58,29,82,1,22.99,0.0
59,30,1,1,189.99,0.0
60,30,16,1,89.99,0.0
61,30,94,1,34.99,3.5
62,31,58,3,26.99,0.0
63,32,62,1,22.5,4.5
64,33,93,1,19.99,0.0
65,34,7,1,119.99,0.0
66,34,77,4,17.5,3.5
67,34,90,1,21.99,0.0
68,35,37,1,64.99,0.0
69,35,2,1,239.99,0.0
70,35,14,2,29.99,0.0
71,36,13,1,59.99,0.0
72,36,115,2,7.99,0.0
73,36,39,1,27.99,7.0
74,36,34,1,18.0,0.0
75,37,47,1,119.99,0.0
76,37,86,1,19.99,2.0
77,38,23,1,169.99,0.0
78,38,46,2,99.99,0.0
79,38,7,1,119.99,0.0
80,39,8,2,54.99,0.0
81,39,3,1,79.99,0.0
82,39,46,1,99.99,0.0
83,40,53,1,36.99,0.0
84,40,36,1,22.99,2.3
85,41,34,1,18.0,0.0
86,41,2,1,239.99,0.0
87,41,40,2,52.0,0.0
88,41,8,1,54.99,0.0
89,41,42,2,149.99,75.0
90,42,20,1,79.99,0.0
91,42,7,1,119.99,0.0
92,43,81,1,34.99,1.75
93,43,56,2,21.99,8.8
94,43,61,1,28.99,0.0
95,43,39,1,27.99,0.0
96,44,79,1,94.99,0.0
97,44,23,3,169.99,76.5
98,45,51,2,69.99,0.0
99,46,92,2,79.99,0.0
100,47,49,2,28.99,0.0
101,47,7,1,119.99,0.0
102,47,70,1,19.99,0.0
103,47,6,1,279.99,0.0
104,48,16,1,89.99,22.5
105,49,52,1,21.99,0.0
106,50,29,1,46.99,7.05
107,50,86,1,19.99,0.0
108,51,27,4,89.99,0.0
109,52,71,1,38.99,0.0
110,53,39,1,27.99,0.0
111,53,70,1,19.99,1.0
112,53,83,1,26.99,0.0
113,53,26,1,49.99,5.0
114,54,14,1,29.99,0.0
115,54,30,1,24.5,1.23
116,54,34,1,18.0,0.0
117,55,18,1,49.99,0.0
118,56,20,1,79.99,0.0
119,56,34,1,18.0,0.0
120,57,2,1,239.99,24.0
121,58,3,1,79.99,0.0
122,58,31,1,44.99,0.0
123,59,4,1,34.99,0.0
124,60,26,3,49.99,0.0
125,60,20,1,79.99,0.0
126,60,6,1,279.99,0.0
127,61,20,2,79.99,0.0
128,62,2,2,239.99,0.0
129,62,6,1,279.99,0.0
130,62,11,1,49.99,0.0
131,62,13,1,59.99,0.0
132,62,12,2,109.99,0.0
133,63,34,1,18.0,0.9
134,64,42,1,149.99,22.5
135,64,2,1,239.99,24.0
136,65,53,1,36.99,0.0
137,66,39,1,27.99,0.0
138,66,41,1,219.99,11.0
139,66,9,2,29.99,0.0
140,66,29,1,46.99,0.0
141,67,89,1,39.99,6.0
142,68,13,1,59.99,0.0
143,69,2,1,239.99,0.0
144,70,74,1,21.0,0.0
145,70,43,1,114.99,0.0
146,71,15,2,47.99,0.0
147,71,63,2,64.99,6.5
148,71,69,1,36.99,0.0
149,72,30,1,24.5,0.0
150,73,13,1,59.99,0.0
151,74,1,1,189.99,0.0
152,75,12,1,109.99,0.0
153,76,4,4,34.99,14.0
154,77,18,1,49.99,0.0
155,78,1,1,189.99,19.0
156,79,54,1,38.0,0.0
157,80,106,1,8.49,1.7
158,81,115,1,7.99,1.6
159,81,6,1,279.99,28.0
160,81,107,1,13.99,0.0
161,82,23,2,169.99,0.0
162,82,55,1,84.99,0.0
163,83,1,1,189.99,0.0
164,84,9,1,29.99,3.0
165,84,27,1,89.99,0.0
166,85,118,2,6.49,2.6
167,86,3,1,79.99,20.0
168,86,11,1,49.99,0.0
169,87,91,1,28.99,0.0
170,87,48,2,54.99,0.0
171,87,22,1,59.99,0.0
172,87,80,2,13.99,0.0
173,88,2,2,239.99,72.0
174,88,16,1,89.99,0.0
175,88,114,1,5.49,1.37
176,88,18,1,49.99,5.0
177,89,20,1,79.99,0.0
