product_id,product_name,category_id,supplier_id,unit_cost,selling_price,stock_quantity,reorder_level,status
1,UltraWireless Noise-Cancelling Headphones,1,1,95.0,189.99,82,15,Active
2,SmartWatch Pro Series 5,1,7,120.0,239.99,150,20,Active
3,Bluetooth Ergonomic Mechanical Keyboard,1,1,42.0,79.99,77,40,Active
4,4K UltraHD Streaming Dongle,1,7,17.5,34.99,241,15,Active
5,True Wireless Earbuds with Wireless Case,1,1,38.0,69.99,136,20,Active
6,27-Inch 144Hz QHD Gaming Monitor,1,7,175.0,279.99,38,40,Active
7,USB-C Dual 4K Universal Docking Station,1,1,65.0,119.99,304,30,Active
8,Portable Waterproof Bluetooth Speaker 20W,1,7,28.0,54.99,326,25,Active
9,High-Speed MagSafe Wireless Charging Pad,1,1,14.0,29.99,28,20,Active
10,Smart Security Wi-Fi Camera 2K Indoor,1,7,22.0,44.99,199,25,Active
11,PowerBank 20000mAh 65W Fast Charge,1,1,26.0,49.99,197,15,Active
12,Noise-Isolating Studio Over-Ear Headphones,1,7,60.0,109.99,74,25,Active
13,Smart Home Voice Assistant Speaker,1,1,30.0,59.99,334,25,Active
14,Ultra-Slim Wireless Numeric Keypad,1,7,15.0,29.99,260,40,Active
15,Multi-Port 100W GaN Travel Charger,1,1,24.0,47.99,218,15,Active
16,Digital Drawing Graphics Tablet 10x6,1,7,45.0,89.99,346,40,Active
17,Dash Cam 4K Front and Rear GPS,1,1,68.0,129.99,210,40,Active
18,Smart LED Color Ambient Light Bar Duo,1,7,25.0,49.99,60,15,Active
19,Precision Optical Wireless Mouse,1,1,12.5,24.99,173,15,Active
20,Noise-Cancelling Conference Microphone,1,7,40.0,79.99,76,30,Active
21,Premium Merino Wool Crewneck Sweater,2,2,28.0,74.99,350,25,Active
22,Slim-Fit Stretch Denim Jeans,2,8,21.0,59.99,206,20,Active
23,Weatherproof All-Season Expedition Parka,2,2,65.0,169.99,61,40,Active
24,Breathable Athletic Performance Tee,2,8,8.5,24.99,298,20,Active
25,Organic Pima Cotton Casual Polo Shirt,2,2,14.0,39.99,219,25,Discontinued
26,Comfort Stretch Chino Trousers,2,8,18.0,49.99,310,20,Active
27,Water-Resistant Softshell Trail Jacket,2,2,35.0,89.99,53,20,Active
28,Seamless High-Waist Athletic Leggings,2,8,12.0,38.0,186,30,Active
29,Brushed Fleece Pullover Hoodie,2,2,16.5,46.99,133,40,Active
30,Pack of 3 Everyday Crewneck Undershirts,2,8,9.0,24.5,186,20,Active
31,Tailored Linen Blend Summer Button-Down,2,2,16.0,44.99,227,30,Active
32,Thermal Base Layer Compression Pants,2,8,11.5,29.99,96,20,Active
33,Windproof Packable Running Vest,2,2,19.0,48.0,300,25,Active
34,Classic Knit Ribbed Beanie Cap,2,8,5.0,18.0,244,40,Active
35,Genuine Leather Minimalist Belt,2,2,12.0,34.99,137,20,Active
36,Cushioned Merino Wool Hiking Socks 3pk,2,8,8.0,22.99,71,15,Active
37,Quilted Lightweight Transitional Vest,2,2,24.0,64.99,103,20,Active
38,Relaxed Fit Cotton Flannel Overshirt,2,8,17.5,46.0,241,40,Active
39,Moisture-Wicking Training Shorts,2,2,9.5,27.99,220,40,Discontinued
40,Polar Fleece Full-Zip Loungewear,2,8,20.0,52.0,295,25,Out of Stock
