supplier_id,supplier_name,contact_information,city
1,Apex Tech Distribution,orders@apextech.com | +1-312-555-0101,Chicago
2,Vanguard Global Brands,b2b@vanguardgb.com | +1-212-555-0102,New York
3,Heritage Home Goods,supply@heritagehg.com | +1-214-555-0103,Dallas
4,Lumina Care & Wellness,sales@luminacare.com | +1-213-555-0104,Los Angeles
5,Titan Athletics Inc,partner@titanathletics.com | +1-206-555-0105,Seattle
6,GreenValley Food Co,vendor@greenvalleyfood.com | +1-303-555-0106,Denver
7,Metro Sound Innovations,wholesale@metrosound.com | +1-512-555-0107,Austin
8,Nordic Fabric Works,info@nordicfabrics.com | +1-617-555-0108,Boston
9,KitchenPro Dynamics,commercial@kitchenpro.com | +1-404-555-0109,Atlanta
10,Zenith Lifestyle Goods,inquiries@zenithlife.com | +1-415-555-0110,San Francisco
